name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
MacLaren Dress,maclaren-dress,B/4 W24 K16 G16 R4 G16 K2 Y/4,K#101010 Y#D09800 R#C80000 G#408060 B#2C2C80 W#FCFCFC,#2C2C80|#FCFCFC|#101010|#408060|#C80000|#D09800,yes,164,B_one_independent_archive,tartans-authority
MacLaurin of Brioch,maclaurin-of-brioch,B/72 K20 G6 R6 G12 K2 Y/4,B#2C4084 K#101010 G#005020 R#DC0000 Y#E8C000,#2C4084|#101010|#005020|#DC0000|#E8C000,yes,168,A_two_plus_independent_archives,weddslist; house-of-tartan
MacLean,maclean,B/16 K16 Y4 K6 W6 K6 G48 R32 B6 R8 K/4,B#2C4084 K#101010 Y#E8C000 W#E0E0E0 G#005020 R#DC0000,#2C4084|#101010|#E8C000|#E0E0E0|#005020|#DC0000,yes,284,B_one_independent_archive,weddslist
MacLean (Black and White),maclean-black-and-white,W/40 K12 W18 K12 W12 K24 W12 K96 W16 K32 W/32,K#101010 W#FCFCFC,#FCFCFC|#101010,yes,540,C_dual_register_scrape,
MacLean (Dress),maclean-dress,K/4 A8 DR4 A48 B32 K4 DW4 K4 GO4 K12 DR4 RB/16,A#5C8CA8 K#101010 B#2C2C80 GO#BC8C00 DR#880000 DW#B8B8B8 RB#1C0070,#101010|#5C8CA8|#880000|#2C2C80|#B8B8B8|#BC8C00|#1C0070,yes,268,C_dual_register_scrape,
MacLean (rare),maclean-rare,K/6 R10 A8 R88 G56 K8 W8 K8 Y4 K16 A10 E/18,K#101010 R#DC0000 A#3C82AF G#005020 W#E0E0E0 Y#E8C000 E#443428,#101010|#DC0000|#3C82AF|#005020|#E0E0E0|#E8C000|#443428,yes,456,B_one_independent_archive,weddslist
MacLean Dress (Lumsden),maclean-dress-lumsden,DR/4 CW48 G24 DR32 SB12 MY/4,CW#F8ECE0 DR#A00000 G#006818 MY#D09800 SB#A8ACE8,#A00000|#F8ECE0|#006818|#A8ACE8|#D09800,yes,240,A_two_plus_independent_archives,weddslist; tartans-authority
MacLean Variation,maclean-variation,K/8 R20 P8 R114 G100 K8 W12 K8 Y8 K24 P/90,K#101010 R#DC0000 P#5A008C G#005020 W#E0E0E0 Y#E8C000,#101010|#DC0000|#5A008C|#005020|#E0E0E0|#E8C000,yes,702,B_one_independent_archive,weddslist
MacLean of Duart,maclean-of-duart,N/18 A10 K16 Y4 K8 W8 K8 G62 R100 A8 R8 K/6,N#808080 A#3C82AF K#101010 Y#E8C000 W#E0E0E0 G#005020 R#DC0000,#808080|#3C82AF|#101010|#E8C000|#E0E0E0|#005020|#DC0000,yes,488,C_dual_register_scrape,
MacLean of Duart #2,maclean-of-duart-2,A/16 K8 Y2 K4 W6 K4 G24 R48 A4 R6 K/4,A#3C82AF K#101010 Y#E8C000 W#E0E0E0 G#005020 R#DC0000,#3C82AF|#101010|#E8C000|#E0E0E0|#005020|#DC0000,yes,232,C_dual_register_scrape,
